PING 13.232.53.208 (13.232.53.208) 56(84) bytes of data.
64 bytes from 13.232.53.208: icmp_seq=142 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=143 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=144 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=145 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=146 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=147 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=148 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=149 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=150 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=151 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=152 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=153 ttl=44 time=109 ms
64 bytes from 13.232.53.208: icmp_seq=154 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=155 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=156 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=157 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=158 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=159 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=160 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=161 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=162 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=163 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=164 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=165 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=166 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=167 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=168 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=169 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=170 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=171 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=172 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=173 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=174 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=175 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=176 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=177 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=178 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=179 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=180 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=181 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=182 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=183 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=184 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=185 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=186 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=187 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=188 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=189 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=190 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=191 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=192 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=193 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=194 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=195 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=196 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=197 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=198 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=199 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=200 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=201 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=202 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=203 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=204 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=205 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=206 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=207 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=208 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=209 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=210 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=211 ttl=44 time=109 ms
64 bytes from 13.232.53.208: icmp_seq=212 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=213 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=214 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=215 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=216 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=217 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=218 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=219 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=220 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=221 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=222 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=223 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=224 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=225 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=226 ttl=44 time=121 ms
64 bytes from 13.232.53.208: icmp_seq=227 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=228 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=229 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=230 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=231 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=232 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=233 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=234 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=235 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=236 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=237 ttl=44 time=105 ms
64 bytes from 13.232.53.208: icmp_seq=238 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=239 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=240 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=241 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=242 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=243 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=244 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=245 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=246 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=247 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=248 ttl=44 time=104 ms
64 bytes from 13.232.53.208: icmp_seq=249 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=250 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=251 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=252 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=253 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=254 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=255 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=256 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=257 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=258 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=259 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=260 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=261 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=262 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=263 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=264 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=265 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=266 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=267 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=268 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=269 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=270 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=271 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=272 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=273 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=274 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=275 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=276 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=277 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=278 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=279 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=280 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=282 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=283 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=284 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=285 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=286 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=287 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=288 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=289 ttl=44 time=103 ms
64 bytes from 13.232.53.208: icmp_seq=290 ttl=44 time=110 ms
64 bytes from 13.232.53.208: icmp_seq=291 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=292 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=293 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=294 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=295 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=296 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=297 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=298 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=299 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=300 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=301 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=302 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=303 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=304 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=305 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=306 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=307 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=308 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=309 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=310 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=311 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=312 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=313 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=314 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=315 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=316 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=317 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=318 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=319 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=320 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=321 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=322 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=323 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=324 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=325 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=326 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=327 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=328 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=329 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=330 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=331 ttl=44 time=110 ms
64 bytes from 13.232.53.208: icmp_seq=332 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=333 ttl=44 time=109 ms
64 bytes from 13.232.53.208: icmp_seq=334 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=335 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=336 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=337 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=338 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=339 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=340 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=341 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=342 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=343 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=344 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=345 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=346 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=347 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=348 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=349 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=350 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=351 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=352 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=353 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=354 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=355 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=356 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=357 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=358 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=359 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=360 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=361 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=362 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=363 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=364 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=365 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=366 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=367 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=368 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=369 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=370 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=371 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=372 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=373 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=374 ttl=44 time=102 ms
64 bytes from 13.232.53.208: icmp_seq=375 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=376 ttl=44 time=101 ms
64 bytes from 13.232.53.208: icmp_seq=377 ttl=44 time=102 ms
